id	name	category1	category2	category3	category4
1838	Hirurška traka za stres urinarnu inkontinenciju, polipropilen, set	07 - Neaktivna implantabilna medicinska sredstva			
1839	Hirurška traka za žensku stres urinarnu inkontinenciju i vaginalnu potporu, polipropilen	07 - Neaktivna implantabilna medicinska sredstva			
1840	Hirurška traka za žensku stres urinarnu inkontinenciju, polipropilen	07 - Neaktivna implantabilna medicinska sredstva			
1841	Hirurška traka za žensku stres urinarnu inkontinenciju, polipropilen, set	07 - Neaktivna implantabilna medicinska sredstva			
1842	Hirurška traka za žensku stres urinarnu inkontinenciju, polivinilidenfluorid	07 - Neaktivna implantabilna medicinska sredstva			
1843	Hirurška traka za žensku stres urinarnu inkontinenciju, polivinilidenfluorid, set	07 - Neaktivna implantabilna medicinska sredstva			
1844	Hirurška traka, pamučna, abdominalna hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu			
1845	Hirurška traka, pamučna, grudna hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu			
1846	Hirurška traka, pamučna, kardiovaskularna hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu			
1847	Hirurška traka, pamučna, neurohirurgija	10 - Medicinska sredstva za jednokratnu upotrebu			
1848	Hirurška traka, pamučna, opšta hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu			
1849	Hirurška traka, poliamid, opšta hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu			
1850	Hirurška traka, sunđerasta, abdominalna hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu			
1851	Hirurška traka, sunđerasta, grudna hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu			
1852	Hirurška traka, sunđerasta, kardiovaskularna hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu			
1853	Hirurška traka, sunđerasta, opšta hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu			
1854	Hirurška traka, sunđerasta, ORL	10 - Medicinska sredstva za jednokratnu upotrebu			
1855	Hirurške kaljače, nesterilne	10 - Medicinska sredstva za jednokratnu upotrebu			
1856	Hirurške kaljače, sterilne	10 - Medicinska sredstva za jednokratnu upotrebu			
1857	Hirurška kecelja, nesterilna	10 - Medicinska sredstva za jednokratnu upotrebu			
1858	Hirurška kecelja, sterilna	10 - Medicinska sredstva za jednokratnu upotrebu			
1859	Hirurške pantalone, nesterilne	10 - Medicinska sredstva za jednokratnu upotrebu			
1860	Hirurške pantalone, sterilne	10 - Medicinska sredstva za jednokratnu upotrebu			
1861	Hirurške rukavice, lateks, bez talka	10 - Medicinska sredstva za jednokratnu upotrebu			
1862	Hirurške rukavice, lateks, sa ili bez talka	10 - Medicinska sredstva za jednokratnu upotrebu			
1863	Hirurške rukavice, lateks, sa talkom	10 - Medicinska sredstva za jednokratnu upotrebu			
1864	Hirurške rukavice, sintetske, bez talka	10 - Medicinska sredstva za jednokratnu upotrebu			
1865	Hirurške rukavice, sintetske, sa ili bez talka	10 - Medicinska sredstva za jednokratnu upotrebu			
1866	Hirurške rukavice, sintetske, sa talkom	10 - Medicinska sredstva za jednokratnu upotrebu			
1867	Hirurški adheziv	10 - Medicinska sredstva za jednokratnu upotrebu			
1868	Hirurški instrument za anatomsku proveru pršljenova, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1869	Hirurški instrument za aspiraciju kornee, oftalmologija	10 - Medicinska sredstva za jednokratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
1870	Hirurški instrument za držanje i pozicioniranje ploče, maksilofacijalna hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1871	Hirurški instrument za držanje i pozicioniranje ploče, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1872	Hirurški instrument za fiksaciju konca, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1873	Hirurški instrument za obrezivanje, ginekologija i urologija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1874	Hirurški instrument za obrezivanje, urologija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1875	Hirurški instrument za određivanje pozicije implanta, stomatologija	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
1876	Hirurški instrument za određivanje veličine, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1877	Hirurški instrument za odvajanje pršljenova, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1878	Hirurški instrument za podizanje poda sinusa, stomatologija	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
1879	Hirurški instrument za postavljenje gaze, ORL	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1880	Hirurški instrument za pripremu grafta, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1881	Hirurški instrument za pripremu implanta, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1882	Hirurški instrument za provlačenje konca, artroskopija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1883	Hirurški instrument za provlačenje konca, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1884	Hirurški instrument za sukciju i irigaciju, endoskopija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1885	Hirurški instrument za uklanjanje implanta, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1886	Hirurški instrument za uklanjanje implanta, stomatologija	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
1887	Hirurški instrument za uklanjanje implanta, traumatologija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1888	Hirurški instrument za uklanjanje klina, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1889	Hirurški instrument za uklanjanje probe implanta, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1890	Hirurški instrument za uklanjanje skalpela, stomatologija	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
1891	Hirurški instrument za uklanjanje stranih tela, oftalmologija	08 - Oftalmološka i optička medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
1892	Hirurški instrument za umetanje i uklanjanje implanta, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1893	Hirurški instrument za umetanje i uklanjanje osnove postolja sistema za stimulaciju rada srca	01 - Aktivna implantabilna medicinska sredstva			
1894	Hirurški instrument za ušivanje krvnog suda, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1895	Hirurški instrument za ušivanje, endoskopija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1896	Hirurški instrument za ušivanje, endoskopija, sistem	10 - Medicinska sredstva za jednokratnu upotrebu			
1897	Hirurški instrument za ušivanje, laparoskopija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1898	Hirurški instrument za uvođenje grafta, kardiovaskularna hirurgija, set	10 - Medicinska sredstva za jednokratnu upotrebu			
1899	Hirurški instrumenti za anuloplastiku, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1900	Hirurški instrumenti za artroskopiju, set	10 - Medicinska sredstva za jednokratnu upotrebu			
1901	Hirurški instrumenti za dentalne implante, set	03 - Dentalna medicinska sredstva	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	
1902	Hirurški instrumenti za fiksaciju koštanog materijala, stomatologija, set	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
1903	Hirurški instrumenti za implantaciju srčane valvule, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1904	Hirurški instrumenti za kompresiju koštanog materijala, stomatologija, set	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
1905	Hirurški instrumenti za podizanje poda sinusa, stomatologija, set	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
1906	Hirurški instrumenti za pripremu grafta u rekonstruktivnoj hirurgiji ligamenata, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1907	Hirurški instrumenti za proširenje mandibule, stomatologija, set	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
1908	Hirurški instrumenti za reparaciju hrskavice kolena, ortopedija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1909	Hirurški instrumenti za transplataciju koštanog materijala, stomatologija, set	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
1910	Hirurški instrumenti za ugradnju implanta kolena, ortopedija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1911	Hirurški instrumenti za ugradnju implanta kuka, ortopedija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1912	Hirurški instrumenti za ugradnju implanta lakta, ortopedija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1913	Hirurški instrumenti za ugradnju implanta ramena, ortopedija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1914	Hirurški instrumenti za ugradnju implanta srednjeg uha, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1915	Hirurški instrumenti za ugradnju proteze kolena, ortopedija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1916	Hirurški instrumenti za ugradnju proteze kuka, ortopedija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1917	Hirurški instrumenti za ugradnju proteze lakta, ortopedija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1918	Hirurški instrumenti za ugradnju proteze ramena, ortopedija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1919	Hirurški instrumenti za uklanjanje implanta, ortopedija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1920	Hirurški instrumenti za uklanjanje suprastrukture dentalnog implanta, set	03 - Dentalna medicinska sredstva	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	
1921	Hirurški instrumenti za uklanjanje zavrtnja dentalnog implanta, set	03 - Dentalna medicinska sredstva	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	
1922	Hirurški instrumenti za umetanje i uklanjanje sistema za stimulaciju rada srca, set	01 - Aktivna implantabilna medicinska sredstva			
1923	Hirurški instrumenti za umetanje sistema za stimulaciju rada srca, set	01 - Aktivna implantabilna medicinska sredstva			
1924	Hirurški instrumenti za vene, vaskularna hirurgija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1925	Hirurški instrumenti za ventrikulostomiju, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1926	Hirurški instrumenti, kranio-maksilofacijalna hirurgija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1927	Hirurški instrumenti, opšta hirurgija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1928	Hirurški instrumenti, ortopedija, set	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1929	Hirurški konac, neresorptivni, lan	10 - Medicinska sredstva za jednokratnu upotrebu			
1930	Hirurški konac, neresorptivni, nerđajući čelik	10 - Medicinska sredstva za jednokratnu upotrebu			
1931	Hirurški konac, neresorptivni, pamuk	10 - Medicinska sredstva za jednokratnu upotrebu			
1932	Hirurški konac, neresorptivni, poliamid	10 - Medicinska sredstva za jednokratnu upotrebu			
1933	Hirurški konac, neresorptivni, poliamid i titanijum	10 - Medicinska sredstva za jednokratnu upotrebu			
1934	Hirurški konac, neresorptivni, polibutestar	10 - Medicinska sredstva za jednokratnu upotrebu			
1935	Hirurški konac, neresorptivni, poliestar	10 - Medicinska sredstva za jednokratnu upotrebu			
1936	Hirurški konac, neresorptivni, polietilen i poliestar	10 - Medicinska sredstva za jednokratnu upotrebu			
1937	Hirurški konac, neresorptivni, polipropilen	10 - Medicinska sredstva za jednokratnu upotrebu			
1938	Hirurški konac, neresorptivni, politetrafluoroetilen	10 - Medicinska sredstva za jednokratnu upotrebu			
1939	Hirurški konac, neresorptivni, poliuretan	10 - Medicinska sredstva za jednokratnu upotrebu			
1940	Hirurški konac, neresorptivni, polivinilidenfluorid	10 - Medicinska sredstva za jednokratnu upotrebu			
1941	Hirurški konac, neresorptivni, svila	10 - Medicinska sredstva za jednokratnu upotrebu			
1942	Hirurški konac, neresorptivni, titanijum	10 - Medicinska sredstva za jednokratnu upotrebu			
1943	Hirurški konac, resorptivni i neresorptivni, set	10 - Medicinska sredstva za jednokratnu upotrebu			
1944	Hirurški konac, resorptivni, glikonat	10 - Medicinska sredstva za jednokratnu upotrebu			
1945	Hirurški konac, resorptivni, polidioksanon	10 - Medicinska sredstva za jednokratnu upotrebu			
1946	Hirurški konac, resorptivni, polidioksanon, antimikrobni	10 - Medicinska sredstva za jednokratnu upotrebu			
1947	Hirurški konac, resorptivni, poliestar (glikolid, dioksanon, trimetilen karbonat)	10 - Medicinska sredstva za jednokratnu upotrebu			
1948	Hirurški konac, resorptivni, poliestar (glikolid, kaprolakton, trimetilen karbonat, laktid)	10 - Medicinska sredstva za jednokratnu upotrebu			
1949	Hirurški konac, resorptivni, poliglaktin	10 - Medicinska sredstva za jednokratnu upotrebu			
1950	Hirurški konac, resorptivni, poliglikolidkaprolakton	10 - Medicinska sredstva za jednokratnu upotrebu			
1951	Hirurški konac, resorptivni, poliglikolidkaprolakton, antimikrobni	10 - Medicinska sredstva za jednokratnu upotrebu			
1952	Hirurški konac, resorptivni, poliglikolidkaprolakton-L-laktid	10 - Medicinska sredstva za jednokratnu upotrebu			
1953	Hirurški konac, resorptivni, poliglikolid-L-laktid	10 - Medicinska sredstva za jednokratnu upotrebu			
1954	Hirurški konac, resorptivni, poliglikolid-L-laktid, antimikrobni	10 - Medicinska sredstva za jednokratnu upotrebu			
1955	Hirurški konac, resorptivni, poliglikolna kiselina	10 - Medicinska sredstva za jednokratnu upotrebu			
1956	Hirurški konac, resorptivni, poliglikolna kiselina, antimikrobni	10 - Medicinska sredstva za jednokratnu upotrebu			
1957	Hirurški konac, resorptivni, poliglikonat	10 - Medicinska sredstva za jednokratnu upotrebu			
1958	Hirurški konac, resorptivni, polikaprolakton	10 - Medicinska sredstva za jednokratnu upotrebu			
1959	Hirurški konac, resorptivni, polilaktidkaprolakton	10 - Medicinska sredstva za jednokratnu upotrebu			
1960	Hirurški konac, resorptivni, polimlečna kiselina	10 - Medicinska sredstva za jednokratnu upotrebu			
1961	Hirurški mantil, nesterilan	10 - Medicinska sredstva za jednokratnu upotrebu			
1962	Hirurški mantil, sterilan	10 - Medicinska sredstva za jednokratnu upotrebu			
1963	Hirurški mikroskop, oftalmologija	08 - Oftalmološka i optička medicinska sredstva			
1964	Hirurški nožić, univerzalni	10 - Medicinska sredstva za jednokratnu upotrebu			
1965	Hirurški skalpel, univerzalni	10 - Medicinska sredstva za jednokratnu upotrebu			
1966	Hirurški zaptivni gel za sprečavanje adhezije tkiva, u špricu, sistem	10 - Medicinska sredstva za jednokratnu upotrebu			
1967	Hirurški zaptivni gel, u špricu, sistem	10 - Medicinska sredstva za jednokratnu upotrebu			
1968	Histeroskop	09 - Instrumenti za višekratnu upotrebu	05 - Bolnička, aparaturna oprema	10 - Medicinska sredstva za jednokratnu upotrebu	
1969	Histologija, boja za mikroskopiju	06 - "In vitro" dijagnostička medicinska sredstva			
1970	Histologija, citološki reagens	06 - "In vitro" dijagnostička medicinska sredstva			
1971	Histologija, potrošni materijal	06 - "In vitro" dijagnostička medicinska sredstva			
1972	Histologija, potrošni materijal za aparat	06 - "In vitro" dijagnostička medicinska sredstva			
1973	Histologija, potrošno sredstvo za aparat	06 - "In vitro" dijagnostička medicinska sredstva			
1974	Hodalica	11 - Tehnička sredstva za hendikepirana lica			
1975	Hodalica, sa podpazušnim osloncem	11 - Tehnička sredstva za hendikepirana lica			
1976	Hodalica, sa točkovima	11 - Tehnička sredstva za hendikepirana lica			
1977	Hodalica, za decu	11 - Tehnička sredstva za hendikepirana lica			
1978	Holedoskop	09 - Instrumenti za višekratnu upotrebu	05 - Bolnička, aparaturna oprema	10 - Medicinska sredstva za jednokratnu upotrebu	
1979	Holter EEG-a	04 - Elektro-mehanička medicinska sredstva	05 - Bolnička, aparaturna oprema		
1980	Holter EKG-a	05 - Bolnička, aparaturna oprema	05 - Bolnička, aparaturna oprema		
1981	Holter EKG-a sa softverom	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva		
1982	Holter krvnog pritiska	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva		
1983	Holter krvnog pritiska i EKG-a	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva		
1984	HPLC kolona	06 - "In vitro" dijagnostička medicinska sredstva			
1985	Hvataljka glave staplera, endoskopska	09 - Instrumenti za višekratnu upotrebu			
1986	Hvataljka, elektrohirurški instrument	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	04 - Elektro-mehanička medicinska sredstva	05 - Bolnička, aparaturna oprema
1987	Hvataljka, elektrohirurški instrument, endoskopija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	04 - Elektro-mehanička medicinska sredstva	05 - Bolnička, aparaturna oprema
1988	Hvataljka, elektrohirurški instrument, laparoskopija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	04 - Elektro-mehanička medicinska sredstva	05 - Bolnička, aparaturna oprema
1989	Hvataljka, hirurški instrument, artroskopija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1990	Hvataljka, hirurški instrument, endoskopija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1991	Hvataljka, hirurški instrument, laparoskopija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1992	Hvataljka, hirurški instrument, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1993	Hvataljka, vrh instrumenta za laparoskopiju	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
1994	Igla aplikatora za brahiterapiju	12 - Dijagnostička i terapeutska medicinska sredstva u radiologiji			
1995	Igla aplikatora za brahiterapiju, set	12 - Dijagnostička i terapeutska medicinska sredstva u radiologiji			
1996	Igla infuzionog porta	10 - Medicinska sredstva za jednokratnu upotrebu			
1997	Igla pena za aplikaciju leka	10 - Medicinska sredstva za jednokratnu upotrebu			
1998	Igla po Kiršneru	07 - Neaktivna implantabilna medicinska sredstva			
1999	Igla po Kiršneru, sa olivom za Ilizarov aparat	07 - Neaktivna implantabilna medicinska sredstva			
2000	Igla sa aplikatorom, za intravaskularnu infuziju kroz koštanu srž	10 - Medicinska sredstva za jednokratnu upotrebu			
2001	Igla uvodnik	10 - Medicinska sredstva za jednokratnu upotrebu			
2002	Igla uvodnik vodič žice, za kateterizaciju	10 - Medicinska sredstva za jednokratnu upotrebu			
2003	Igla uvodnik, perkutana	10 - Medicinska sredstva za jednokratnu upotrebu			
2004	Igla uvodnik, perkutana, vaskularna	10 - Medicinska sredstva za jednokratnu upotrebu			
2005	Igla uvodnik, perkutana, za nefrostomiju	10 - Medicinska sredstva za jednokratnu upotrebu			
2006	Igla uvodnik, za epiduralnu anesteziju	02 - Anestezijska i respiratorna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu		
2007	Igla vodič, hirurški instrument, opšta hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
2008	Igla vodič, hirurški instrument, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
2009	Igla vodič, hirurški instrument, traumatologija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
2010	Igla vodič, perkutana, set	10 - Medicinska sredstva za jednokratnu upotrebu			
2011	Igla vodič, za spinalnu anesteziju	02 - Anestezijska i respiratorna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu		
2012	Igla vodiča, hirurški instrument, artroskopija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
2013	Igla za amniocentezu	10 - Medicinska sredstva za jednokratnu upotrebu			
2014	Igla za amniocentezu i kordocentezu	10 - Medicinska sredstva za jednokratnu upotrebu			
2015	Igla za anesteziju, oftalmologija	08 - Oftalmološka i optička medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	02 - Anestezijska i respiratorna medicinska sredstva	
2016	Igla za anesteziju, stomatološka	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	02 - Anestezijska i respiratorna medicinska sredstva	
2017	Igla za angiografiju	10 - Medicinska sredstva za jednokratnu upotrebu			
2018	Igla za aplikaciju elektroprovodljivog gela	10 - Medicinska sredstva za jednokratnu upotrebu			
2019	Igla za aproksimator, hirurški instrument, opšta hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
2020	Igla za aspiracionu biopsiju bilijarnog sistema	10 - Medicinska sredstva za jednokratnu upotrebu			
2021	Igla za aspiracionu biopsiju jetre	10 - Medicinska sredstva za jednokratnu upotrebu			
2022	Igla za aspiracionu biopsiju jetre, set	10 - Medicinska sredstva za jednokratnu upotrebu			
2023	Igla za aspiracionu biopsiju koštane srži	10 - Medicinska sredstva za jednokratnu upotrebu			
2024	Igla za aspiracionu biopsiju mekih tkiva	10 - Medicinska sredstva za jednokratnu upotrebu			
2025	Igla za aspiracionu biopsiju mekih tkiva, set	10 - Medicinska sredstva za jednokratnu upotrebu			
2026	Igla za aspiracionu biopsiju pluća	10 - Medicinska sredstva za jednokratnu upotrebu			
2027	Igla za aspiracionu biopsiju pluća, set	10 - Medicinska sredstva za jednokratnu upotrebu			
2028	Igla za aspiracionu biopsiju, endoskopija	10 - Medicinska sredstva za jednokratnu upotrebu			
2029	Igla za aspiracionu biopsiju, endoskopija, set	10 - Medicinska sredstva za jednokratnu upotrebu			
2030	Igla za aspiracionu biopsiju, ginekologija	10 - Medicinska sredstva za jednokratnu upotrebu			
2031	Igla za aspiracionu biopsiju, transbronhijalna	10 - Medicinska sredstva za jednokratnu upotrebu			
2032	Igla za aspiracionu biopsiju, transbronhijalna, set	10 - Medicinska sredstva za jednokratnu upotrebu			
2033	Igla za autoinjektor za lek	10 - Medicinska sredstva za jednokratnu upotrebu			
2034	Igla za biopsiju kosti	10 - Medicinska sredstva za jednokratnu upotrebu			
2035	Igla za biopsiju kosti i koštane srži	10 - Medicinska sredstva za jednokratnu upotrebu			
2036	Igla za biopsiju kosti, set	10 - Medicinska sredstva za jednokratnu upotrebu			
2037	Igla za biopsiju koštane srži	10 - Medicinska sredstva za jednokratnu upotrebu			
2038	Igla za biopsiju koštane srži, set	10 - Medicinska sredstva za jednokratnu upotrebu			
2039	Igla za biopsiju kože	10 - Medicinska sredstva za jednokratnu upotrebu			
2040	Igla za biopsiju kože i oralne sluzokože	10 - Medicinska sredstva za jednokratnu upotrebu			
2041	Igla za biopsiju kože, set	10 - Medicinska sredstva za jednokratnu upotrebu			
2042	Igla za biopsiju, gastrointestinala endoskopija	10 - Medicinska sredstva za jednokratnu upotrebu			
2043	Igla za biopsiju, hirurški instrument, opšta hirurgija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
2044	Igla za biopsiju, poluautomatska	10 - Medicinska sredstva za jednokratnu upotrebu			
2045	Igla za biopsiju, ultrazvučna endoskopija	10 - Medicinska sredstva za jednokratnu upotrebu			
2046	Igla za biopsiju, za automatski pištolj	10 - Medicinska sredstva za jednokratnu upotrebu			
2047	Igla za blokadu perifernih nerava	10 - Medicinska sredstva za jednokratnu upotrebu			
2048	Igla za brahiterapiju	12 - Dijagnostička i terapeutska medicinska sredstva u radiologiji			
2049	Igla za bušenje, hirurški instrument, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
2050	Igla za citohistološku aspiracionu biopsiju	10 - Medicinska sredstva za jednokratnu upotrebu			
2051	Igla za citohistološku aspiracionu biopsiju, set	10 - Medicinska sredstva za jednokratnu upotrebu			
2052	Igla za citološku aspiracionu biopsiju	10 - Medicinska sredstva za jednokratnu upotrebu			
2053	Igla za citološku aspiracionu biopsiju, set	10 - Medicinska sredstva za jednokratnu upotrebu			
2054	Igla za čišćenje borera za dentalne implante	03 - Dentalna medicinska sredstva			
2055	Igla za drenažu	10 - Medicinska sredstva za jednokratnu upotrebu			
2056	Igla za drenažu intragastričnog balona	10 - Medicinska sredstva za jednokratnu upotrebu			
2057	Igla za ekstrakciju pulpe, endodontski instrument	10 - Medicinska sredstva za jednokratnu upotrebu			
2058	Igla za elektroneurostimulaciju	10 - Medicinska sredstva za jednokratnu upotrebu			
2059	Igla za elektroneurostimulaciju i stimulaciju ultrazvukom	10 - Medicinska sredstva za jednokratnu upotrebu			
2060	Igla za epiduralnu anesteziju	02 - Anestezijska i respiratorna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu		
2061	Igla za hemodijalizu	10 - Medicinska sredstva za jednokratnu upotrebu			
2062	Igla za hemodijalizu, arterijska	10 - Medicinska sredstva za jednokratnu upotrebu			
2063	Igla za hemodijalizu, fistulna	10 - Medicinska sredstva za jednokratnu upotrebu			
2064	Igla za hemodijalizu, set	10 - Medicinska sredstva za jednokratnu upotrebu			
2065	Igla za hemodijalizu, venska	10 - Medicinska sredstva za jednokratnu upotrebu			
2066	Igla za hirurški konac, nesterilna	10 - Medicinska sredstva za jednokratnu upotrebu			
2067	Igla za hirurški konac, sterilna	10 - Medicinska sredstva za jednokratnu upotrebu			
2068	Igla za horiocentezu	10 - Medicinska sredstva za jednokratnu upotrebu			
